Refs,datasheet,footprint,prefix,value,Заказной номер ,Кол‐во,Наименование 1С8 УПП,Напр.,Ном.,"Откл,%",Примечание,Производитель,ТКЕ/ТКС,Тип элемента,Типоразмер
VN808-E,-,-,DD,VN808-E,-,-,-,-,-,-,-,-,-,-,-
VNH3SP30,-,-,DD,VNH3SP30,-,-,-,-,-,-,-,-,-,-,-
WS-DISV-4,-,-,SA,WS-DISV-4,-,-,-,-,-,-,-,-,-,-,-
XF2M-2615-1A,-,-,X,XF2M-2615-1A,-,-,-,-,-,-,-,-,-,-,-
ZTT,-,-,ZQ,ZTT,-,-,-,-,-,-,-,-,-,-,-
fdc-24,-,-,X,fdc-24,-,-,-,-,-,-,-,-,-,-,-
~AGND,-,-,#PWR,AGND,-,-,-,-,-,-,-,-,-,-,-
~AGND1,-,-,#PWR,AGND1,-,-,-,-,-,-,-,-,-,-,-
~DGND,-,-,#PWR,DGND,-,-,-,-,-,-,-,-,-,-,-
~F,-,-,F,F,-,-,-,-,-,-,-,-,-,-,-
~GGND,-,-,#PWR,GGND,-,-,-,-,-,-,-,-,-,-,-
~GWG,-,-,#PWR,GWG,-,-,-,-,-,-,-,-,-,-,-
~KT,-,-,KT,KT,-,-,-,-,-,-,-,-,-,-,-
~KT_1,-,-,KT_1,KT_1,-,-,-,-,-,-,-,-,-,-,-
~POINT,-,-,P,POINT,-,-,-,-,-,-,-,-,-,-,-
"~POINT_0,3",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"~POINT_0,7",-,-,,,-,-,-,-,-,-,-,-,-,-,-
~POINT_GGND,-,-,P,POINT_GGND,-,-,-,-,-,-,-,-,-,-,-
~POINT_GWG,-,-,P,POINT_GWG,-,-,-,-,-,-,-,-,-,-,-
~POINT_PWR,-,-,P,POINT_PWR,-,-,-,-,-,-,-,-,-,-,-
~PS,-,-,PS,PS,-,-,-,-,-,-,-,-,-,-,-
~PS_PWR,-,-,PS,PS_PWR,-,-,-,-,-,-,-,-,-,-,-
Анод,-,-,#PWR,Анод,-,-,-,-,-,-,-,-,-,-,-
ВП2Б-1В,-,-,FU,ВП2Б-1В,-,-,-,-,-,-,-,-,-,-,-
ВП4-5,-,-,FU,ВП4-5,-,-,-,-,-,-,-,-,-,-,-
ЗП-25,-,-,HA,ЗП-25,-,-,-,-,-,-,-,-,-,-,-
Катод,-,-,#PWR,Катод,-,-,-,-,-,-,-,-,-,-,-
"+1,2B",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"+1,5B",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"+1,8B",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"+2,048B",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"+2,4B",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"+2,5B",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"+2,7B",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"+3,3B",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"+3,3B1",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"+3,3B2",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"+3,3B_ETHERNET",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"+3,3B_SD_MMC",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"+3,3B_TFT",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"+3,3B_TION",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"+3,5B",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"+3,5B1",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"+3,5B2",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"C2-29B-0,125_G",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"LT1761ES5-3,3",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"~POINT_0,3",-,-,,,-,-,-,-,-,-,-,-,-,-,-
"~POINT_0,7",-,-,,,-,-,-,-,-,-,-,-,-,-,-
